filename,status,bars,slow_ratio,center_ratio,fast_ratio,achievement,precision,balance,overall_score,rank,play_tendency,ranking_position,ranking_percentile,ranking_top_percent,ranking_title,error
12_守沢千秋_グラフ_熱血☆流星忍法帖.PNG,OK,3,0.080925,0.786127,0.132948,100.786,78.613,75.676,78.025,S+,All Round Player,527,29.294052251250697,29.294052251250697,ブロンズランカー,
12_守沢千秋_グラフ_瞬きSign☆.PNG,OK,3,0.085000,0.815000,0.100000,100.815,81.500,91.892,83.578,SS+,Precision Master,139,7.726514730405781,7.726514730405781,ゴールドランカー,
12_守沢千秋_グラフ_終わらないシンフォニア.PNG,OK,3,0.017341,0.705202,0.277457,100.705,70.520,11.765,58.769,B,Fast Type,1701,94.55252918287937,94.55252918287937,ホワイトランカー,
1394B093-6A66-4108-9115-BAE18545AD05.jpeg,OK,3,0.056497,0.802260,0.141243,100.802,80.226,57.143,75.609,AAA+,Amazing Specialist,759,42.19010561423013,42.19010561423013,パープルランカー,
13_深海奏汰_グラフ_Ai☆$!!.png,OK,3,0.065000,0.750000,0.185000,100.750,75.000,52.000,70.400,AA+,Fast Type,1201,66.75931072818231,66.75931072818231,オレンジランカー,
13_深海奏汰_グラフ_BIGBANG REFLECTION!!.png,OK,3,0.080000,0.755000,0.165000,100.755,75.500,65.306,73.461,AAA,Fast Type,951,52.8627015008338,52.8627015008338,レッドランカー,
13_深海奏汰_グラフ_CIVIL WAR.PNG,OK,3,0.055000,0.850000,0.095000,100.850,85.000,73.333,82.667,SS+,Amazing Specialist,182,10.116731517509727,10.116731517509727,シルバーランカー,
13_深海奏汰_グラフ_Dear World(3DMV).PNG,OK,3,0.050251,0.884422,0.065327,100.884,88.442,86.957,88.145,SSS+,Amazing Specialist,11,0.6114508060033352,0.6114508060033352,レインボーランカー,
13_深海奏汰_グラフ_Dear World(ムービー).PNG,OK,3,0.070000,0.840000,0.090000,100.840,84.000,87.500,84.700,SSS,Precision Master,93,5.169538632573651,5.169538632573651,プラチナランカー,
13_深海奏汰_グラフ_Deep into you.PNG,OK,3,0.092486,0.826590,0.080925,100.827,82.659,93.333,84.794,SSS,Precision Master,91,5.058365758754864,5.058365758754864,プラチナランカー,
13_深海奏汰_グラフ_FORBIDDEN RAIN.png,OK,3,0.125000,0.755000,0.120000,100.755,75.500,97.959,79.992,S+,Balanced Player,371,20.622568093385212,20.622568093385212,ブロンズランカー,
